category,status,goal,funded percentage,duration
Film & Video,failed,30000,0.228907667,55
Film & Video,successful,500,1.092,26
Film & Video,failed,3000,0.265,50
Design,failed,10000,0.217099,45
Film & Video,failed,2000,0.05,30
Comics,failed,5000,0.0076,30
Film & Video,failed,6000,0.079166667,30
Film & Video,successful,2000,1.4925,30.33
Film & Video,failed,1200,0.084166667,60.04
Music,failed,4200,0,53.89
Music,successful,6500,1.127076923,52.51
Film & Video,successful,2500,1.2664,25
Film & Video,failed,12500,0,29.96
Film & Video,successful,500,3.292,30
Film & Video,failed,3000,0.096666667,43.63
Music,successful,10000,1.522,68.24
Theater,failed,3500,0.111428571,46.92
Food,failed,3500,0.726857143,60
Music,successful,10000,1.028,45
Art,successful,1400,2.366664286,15
Theater,failed,2000,0.1975,70.37
Publishing,failed,7500,0.090933333,30
Film & Video,successful,5000,1.0912,30.01
Film & Video,successful,40000,1.1839025,40
Comics,successful,30000,1.0159,30.04
Comics,successful,1000,1.06,40
Film & Video,failed,350000,4.29E-05,35
Music,failed,20000,0.14875,78.1
Publishing,successful,2000,1.3925,60
Music,successful,2000,1.4,36.13
Design,successful,750,1.602666667,30
Art,failed,2000,0,60
Music,successful,3000,1.038333333,29.96
Comics,failed,7000,0,83.18
Photography,failed,11111,0.027100171,60.95
Music,failed,750,0,24
Publishing,failed,2700,0.152222222,36.62
Film & Video,failed,1050,0.504761905,44.96
Technology,successful,7500,1.231465333,30
Film & Video,successful,1000,1.7,34.96
Music,successful,2000,1.0425,30.98
Music,failed,50000,0.002,40
Film & Video,successful,10000,1.057032,45.54
Art,successful,3500,1.284285714,30
Art,failed,750,0,45.76
Design,failed,20000,0.1381,46.19
Comics,successful,4200,1.092619048,26.04
Publishing,failed,3000,0.016666667,77.96
Art,failed,30000,0.010166667,45
Music,failed,3000,0.121,76
Film & Video,successful,5000,1.05,18
Music,failed,5000,0.05,35.96
Music,successful,500,1.096,30
Film & Video,failed,2000,0.1375,30
Publishing,failed,5555,0.051305131,60.04
Film & Video,successful,6000,1.016666667,27.9
Film & Video,successful,15000,1.069866667,30
Games,successful,3000,1.212666667,30
Film & Video,successful,1000,1.07,20
Publishing,failed,25000,0,45
Food,successful,1000,1.012,59.96
Games,successful,8000,1.851875,36
Music,successful,500,2.302,90.96
Food,successful,1200,2.008333333,30
Comics,failed,7000,0,61.5
Music,failed,11000,0.024090909,46
Games,failed,15000,0.290066667,30
Film & Video,failed,18764.4,0.00532924,87.89
Publishing,successful,2000,1.265,31.07
Film & Video,successful,1900,1.105789474,31.56
Film & Video,failed,5000,0,29.96
Dance,failed,2435,0,30.55
Publishing,failed,700,0.071428571,60.82
Film & Video,failed,5755,0,21
Publishing,failed,13000,0.003461538,44.96
Music,failed,10000,0,30
Film & Video,failed,20000,0,29.96
Food,failed,6000,0.008333333,30
Publishing,successful,2000,1.09,30.81
Art,failed,13003,0.209567023,28.96
Art,failed,950,0.253684211,14.54
Photography,failed,11500,0.006086957,89.85
Comics,successful,4000,1.00875,30
Film & Video,failed,25000,0.0064,50
Film & Video,failed,5000,0.415,60
Theater,successful,1100,1.289090909,33.52
Art,successful,10000,1.0144,46.18
Music,failed,2500,0,58.05
Art,successful,11800,1.002382203,27.56
Music,successful,6000,1.161666667,40.04
Film & Video,successful,10000,1.21,89.49
Art,successful,3000,1.241666667,45
Theater,failed,3333,0.079507951,33
Film & Video,successful,20000,1.28335,43.47
Theater,successful,2500,1.748052,29.96
Theater,successful,8000,1.0005,15.42
Film & Video,failed,5000,0.085,29.96
Fashion,failed,5000,0.025,20.98
Fashion,failed,3000,0.641666667,30
Games,failed,10700,0.001869159,27.04
Film & Video,failed,19000,0.000526316,31
Film & Video,successful,5000,1.078,30
Publishing,failed,1500,0.096666667,45
Film & Video,successful,10000,1,32
Music,successful,1000,1,30
Music,successful,3500,1.138857143,60
Photography,successful,12000,1.298083333,30
Comics,successful,2500,1.0288,45.04
Music,failed,700,0.144285714,60
Publishing,failed,10000,0.0034,60.04
Photography,failed,5000,0.033,45
Film & Video,failed,20000,0.0263,90.04
Music,successful,1200,1.311166667,45.21
Games,failed,3500,0.068571429,60
Music,successful,2500,1.262,30
Film & Video,failed,1200,0.083333333,30.04
Film & Video,successful,3000,1.898333333,55.13
Music,failed,20000,0.00125,30
Art,successful,12000,1.089416667,46.42
Music,successful,5000,1.069,10.96
Music,successful,2500,1.2352,30.1
Music,successful,2200,1.115909091,33.96
Film & Video,successful,1500,1.183333333,38.04
Design,failed,2500,0.084,59.96
Fashion,successful,1800,1.033888889,39.96
Music,successful,3000,1.069156667,24.16
Music,successful,1000,1.077,66.19
Technology,failed,20000,0.28415,30
Publishing,failed,5800,0.097241379,45
Art,failed,5000,0,49.22
Theater,failed,5000,0,30
Film & Video,failed,8000,0.024125,30
Fashion,failed,1000,0.375,14
Theater,successful,1500,1,40
Comics,successful,1000,1,5
Comics,successful,12000,1.977458333,31.96
Film & Video,failed,4000,0.19275,30
Film & Video,successful,12000,1.277083333,30
Art,successful,2500,1.0168,30
Music,successful,800,1.01625,30.04
Film & Video,successful,80000,1.030856875,30
Photography,successful,6500,1.166153846,15
Film & Video,successful,3000,1.344333333,29.96
Film & Video,failed,5000,0.003,29.04
Music,successful,3000,1.549666667,34.96
Film & Video,successful,1200,1.391666667,30.96
Publishing,failed,5000,0.032,30
Film & Video,successful,10000,1.2185,60.24
Art,successful,2500,1,88.04
Music,successful,3200,1.015625,30.96
Art,successful,1500,1.383333333,10.16
Photography,successful,3000,1.021666667,29.19
Film & Video,failed,5000,0.042,60
Photography,successful,3100,1.64016129,84.48
Art,successful,700,1.001428571,19
Games,failed,4800,0.048958333,74.96
Film & Video,failed,5000,0.012,30
Publishing,failed,2000,0.22491,30
Music,successful,2000,1.28,31
Publishing,failed,5770,0,10.34
Food,successful,10000,1.3616,45
Film & Video,successful,20000,1.0243,60
Music,successful,1000,1.253,89.15
Publishing,failed,500,0.112,90.96
Art,successful,1800,1.426666667,72.52
Technology,failed,30000,0.021366667,45
